ID,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,7955.74,C1017668876,49772.77,41919.74,M399707805,37906.27,46152.93,1,0
2,PAYMENT,9026.53,C1540894701,9389.55,503.12,C564160838,25165.93,33974.96,1,0
3,PAYMENT,5656.91,C1287719145,12176.86,6987.4,C352239275,8850.83,14035.54,1,0
4,PAYMENT,4996.88,C751608431,20179.22,15126.51,M1723290893,41626.83,46269.21,1,0
5,PAYMENT,8608.25,C232309213,43679.73,34774.77,C506735117,25841.24,34598.75,1,0
6,PAYMENT,8529.81,C291895222,39711.22,31081.95,C444647547,46345.98,55113.32,1,0
7,PAYMENT,3576.14,C1272688343,29577.55,25678.53,M473644297,48590.33,52554.12,1,0
8,PAYMENT,5689.52,C1311884918,25043.83,19472.08,M1529834975,33756.49,39489.08,1,0
9,PAYMENT,9367.5,C416758546,34400.82,24889.12,C1786622318,15605.01,25215.4,1,0
10,PAYMENT,701.68,C1568400442,8540.31,7667.22,C1262169546,28784.19,29857.75,1,0
11,PAYMENT,386.37,C2029372696,29351.3,29342.57,C1971489295,18564.32,18871.16,1,0
12,PAYMENT,730.39,C711197015,25025.32,24375.17,M1384454980,13450.2,14539.75,1,0
13,PAYMENT,2881.29,C2081047169,28862.62,25505.59,M1728954401,22708.99,25662.2,1,0
14,PAYMENT,8442.09,C1300940045,40283.89,31708.51,C1894575391,20688.86,29534.43,1,0
15,PAYMENT,4623.14,C1854306410,32533.53,27529.8,M762264551,30529.46,34791.81,1,0
16,PAYMENT,2887.45,C1775746074,45783.78,42849.25,C746009679,42680.88,45422.1,1,0
17,PAYMENT,7452.83,C1361524570,30084.87,22238.55,M1320550636,17481.69,24862.01,1,0
18,PAYMENT,6771.09,C1412083049,13053.54,6782.31,M248969337,22445.6,29351.26,1,0
19,PAYMENT,282.66,C1238616099,19771.35,19946.95,M70695990,41656.65,41497.68,1,0
20,PAYMENT,1075.61,C2126545173,18238.9,16998.06,C573200870,9544.86,10733.93,1,0
21,PAYMENT,2841.3,C666642000,34887.16,31644.44,C1315078366,6273.53,8883.63,1,0
22,PAYMENT,8345.77,C1484518113,33239.62,24634.37,C978609035,27200.24,35863.93,1,0
23,PAYMENT,9510.36,C750252589,13700.78,4544.77,M162080399,41555.71,51011.69,1,0
24,PAYMENT,5202.72,C354191117,46357.55,40835.87,M1825180841,18666.67,24015.9,1,0
25,PAYMENT,2023.06,C1481594086,2325.47,402.71,M1569435561,31595.56,34035.02,1,0
26,PAYMENT,5670.43,C2049751161,43671.03,38078.19,M488699931,491.18,6530.15,1,0
27,PAYMENT,419.5,C329383626,20316.49,20295,C814900611,45454.75,46026.77,1,0
28,PAYMENT,5877.63,C771706617,47611.43,42180.44,C1315729466,30169.35,36405.29,1,0
29,PAYMENT,3537.83,C2142884078,44354.52,41007,M411172298,12930.76,16721.37,1,0
30,PAYMENT,5343.07,C399373008,29479.74,24157.56,M391506011,3911.44,9293.05,1,0
31,PAYMENT,7433.3,C1547714604,5176.17,-2122.46,C7881234,11222.28,18715.25,1,0
32,PAYMENT,2044.48,C2128518250,36006.36,34384.24,C13998805,31439.62,33482.68,1,0
33,PAYMENT,9314.28,C1976323653,35810.22,26121.24,C1562210313,33458.44,43070.99,1,0
34,PAYMENT,2858.1,C2121642611,31840.4,28950.94,C59941009,35517.85,38647.29,1,0
35,PAYMENT,6099.81,C1723402931,13006.35,6790.65,M384097113,42318.99,48350.61,1,0
36,PAYMENT,5777.26,C974999292,33139.33,27525.86,M725481844,26773.74,33032.58,1,0
37,PAYMENT,2911.96,C944055223,9300.35,6417.33,C1778300121,12486.34,15784.09,1,0
38,PAYMENT,799.14,C1775746074,36730.46,35596.3,C746009679,48518.37,49014.23,1,0
39,PAYMENT,6495.28,C1232152956,29296.62,22608.03,C196858716,5663.59,11958.87,1,0
40,PAYMENT,9151.73,C1291770028,211.66,-8525.49,C1409594744,14687.94,24190.73,1,0
41,PAYMENT,3630.32,C608182931,27295.98,23414.37,C1513521418,35673.65,38929.72,1,0
42,PAYMENT,5829.27,C2133297568,14018.81,8272.01,C1977614404,30281.78,35949.2,1,0
43,PAYMENT,2321.16,C1395071924,27400.63,25196.29,C79685693,27193.23,29642.44,1,0
44,PAYMENT,5694.99,C1769581889,30982.61,25698.62,C217441120,5723.51,11791.38,1,0
45,PAYMENT,2697.57,C308061720,31738.21,29268.97,M581453026,48968.86,51579.09,1,0
46,PAYMENT,9625.98,C740466386,3239.66,-6024.14,C1632039044,7392,17302.07,1,0
47,PAYMENT,1042.47,C622287174,11494.09,10674.91,M1104410545,16512.24,17452.46,1,0
48,PAYMENT,3522.63,C562286042,39839.86,35922.41,M1912727196,19084.28,22577.71,1,0
49,PAYMENT,2658.13,C1112583840,4195.42,1062.99,C1195589213,11730.36,14295.72,1,0
50,PAYMENT,3935.96,C552674617,42297.94,38578.44,C909295153,14531.44,18756.93,1,0
51,PAYMENT,5319.12,C1282336086,36633.23,31078.65,C2073764942,34936.75,40692.27,1,0
52,PAYMENT,4270.37,C986921565,3458.18,-484.47,C189963646,38424.17,42938.45,1,0
53,PAYMENT,6587.15,C2030777645,24102.28,17584.92,M1423518330,29368.69,36386.14,1,0
54,PAYMENT,7912.08,C62059331,10267.82,2851.1,C843774579,43132.34,51280.33,1,0
55,PAYMENT,1844.39,C1130346421,7894.1,5711.4,M1316005672,35759.88,37244.33,1,0
56,PAYMENT,279.15,C1113725180,24853.78,24806.5,C1080993648,23132.2,23707.92,1,0
57,PAYMENT,9394.9,C1761217448,12435.97,2865.64,M1817789863,29996.59,39459.39,1,0
58,PAYMENT,3691.57,C1862029088,46969.74,42945.64,C1859208558,22104.35,26178.19,1,0
59,PAYMENT,5963.7,C171852056,16877.49,10878.62,M1279883520,47529.58,53523.7,1,0
60,PAYMENT,1664.72,C1106933404,6306.8,4961.26,M1074868579,24683.87,26702.64,1,0
61,PAYMENT,7734.55,C552674617,13383.53,6142.92,C909295153,2906.81,10362.73,1,0
62,PAYMENT,4359.61,C413603458,11078.52,6392.76,C795982694,1715.67,5980.72,1,0
63,PAYMENT,6728.54,C1113218094,39104.34,32011.65,C150309335,21216.01,28066.43,1,0
64,PAYMENT,5839.91,C369964404,10570.84,4367.69,M326402381,3790.92,10099.1,1,0
65,PAYMENT,7978.41,C1470868839,9069.81,1382.51,M1426725223,44085.88,52298.18,1,0
66,PAYMENT,1394.73,C1516927567,26117.11,25143.03,C1246297699,46896.87,47947.66,1,0
67,PAYMENT,6168.39,C621300467,24322.05,18467.1,M506130019,6239.34,12132.26,1,0
68,PAYMENT,9245.4,C1440738283,15083.44,6144.86,M1849015357,26162.73,35863.25,1,0
69,PAYMENT,1720.67,C643571546,7495.1,5865.62,M429205586,16782.89,18985.43,1,0
70,PAYMENT,5810.86,C413828554,44419.27,38681.59,C47976160,43751.62,49129.37,1,0
71,PAYMENT,9604,C243575009,17345.93,7788.73,M777341499,1964.63,11510.94,1,0
72,PAYMENT,1163.97,C553759818,28636.45,27115.19,C75457651,48264.97,49364.85,1,0
73,PAYMENT,528.7,C1275464847,10661.49,9764.34,C1364913072,42913.74,43602.69,1,0
74,PAYMENT,1983.24,C397849130,13691.61,11586.62,M1359568427,4404.02,6578.51,1,0
75,PAYMENT,316.42,C447783447,24192.42,23480.67,M1082819342,42593.73,42885.13,1,0
76,PAYMENT,5743.04,C61134695,19437.37,13277.46,C543690176,34353.88,39740.81,1,0
77,PAYMENT,6858.45,C992519502,18848.5,11548.91,M894811315,12569.49,19504.29,1,0
78,PAYMENT,154.7,C269892014,28113.36,27849.6,C1590550415,29776.37,29636.03,1,0
79,PAYMENT,4542.6,C896138248,35434.31,31147.46,M548482954,11813.21,16105.94,1,0
80,PAYMENT,3784.35,C1190429229,1279.94,-2278.06,C2104652067,11981.23,15632.25,1,0
81,PAYMENT,7714.4,C304392688,4097.22,-3834.43,M1380251088,36126.92,44022.87,1,0
82,PAYMENT,7852.54,C598357562,18462.86,10172.57,M1593224710,11469.92,19045.33,1,0
83,PAYMENT,7386.13,C1591575590,12534.34,5406.06,M818758291,21144.69,28579.52,1,0
84,PAYMENT,116.68,C1181782045,44562.8,44050.01,C201923293,49786.19,50149.31,1,0
85,PAYMENT,1962.62,C1551985534,44461.38,42318.72,M558281172,48699.41,50585.55,1,0
86,PAYMENT,197.35,C2067883326,49445.17,49151.46,C70895366,33028.03,33008.51,1,0
87,PAYMENT,9903.5,C1568400442,18151.19,8227.46,C1262169546,31821.47,41975.37,1,0
88,PAYMENT,9358.57,C396918327,41101.09,31284.99,C1590550415,11034.28,20713.3,1,0
89,PAYMENT,5239.84,C1499825229,32678.97,27608.76,C2100440237,6625.96,11690.35,1,0
90,PAYMENT,2324.33,C1103228417,20332.22,17688.04,M1852619413,3222.57,5991.37,1,0
91,PAYMENT,6000,C140359285,1003.25,-5212.23,C2020337583,16346.99,22617.78,1,0
92,PAYMENT,2465.99,C1633345274,16360.04,13785.93,C2016729324,17052.09,19751.27,1,0
93,PAYMENT,4311.52,C1013770760,20752.55,15980.18,M794741289,24670.08,28686.98,1,0
94,PAYMENT,8515.62,C1313837590,3144.31,-5408.42,M1271906351,14023.2,22751.47,1,0
95,PAYMENT,5122.46,C2077467287,5706.96,647.49,C382961988,26579.73,31756.67,1,0
96,PAYMENT,8561.81,C617097225,7644.6,-907.41,C1482560677,11981.23,20697.19,1,0
97,PAYMENT,8696.5,C1016798152,78.57,-8453.9,C1651855867,8824.78,17271.35,1,0
98,PAYMENT,5548.53,C1430805033,18050.24,12202.74,M1969241874,19909.11,25834.15,1,0
99,PAYMENT,8453.84,C1110886902,27621.67,19436.61,C1315729466,48120.78,56163.91,1,
100,PAYMENT,4462.12,C2082351661,30783.58,26640.33,C1810132623,11444.49,15754.25,1,0
101,PAYMENT,8809.34,C127073441,13912.93,4688.9,M46705755,43271.2,51789.55,1,0
102,PAYMENT,1588.39,C925150995,40565.81,39124.37,C920011586,23698.7,25642.38,1,0
103,PAYMENT,3984.1,C761061121,38718.88,34328.98,M466695827,43571.35,47712.96,1,0
104,PAYMENT,9239.38,C511615803,34689.79,25647,C661442540,37061.9,46764.12,1,0
105,PAYMENT,2019.17,C1544078442,32998.49,30629.54,M1291367132,2397.05,4343.67,1,0
106,PAYMENT,7577.65,C1174000532,14562.59,6738.16,C410033330,48592.86,56197.42,1,0
107,PAYMENT,4037.03,C28437386,6168.44,2269.22,C191614132,2755.67,7047.02,1,0
108,PAYMENT,7903.57,C733714450,8033.44,-238.48,C1725775569,36187.03,44450.86,1,0
109,PAYMENT,3169.76,C844140707,2694.63,-545.13,M2127185221,41049.93,44060.33,1,0
110,PAYMENT,4934.39,C2101686389,14852.35,9423.67,C612008977,13337.92,18121.53,1,0
111,PAYMENT,1035.92,C2097038268,1754.58,821.16,M439006357,8471.56,9054.7,1,0
112,PAYMENT,5401.99,C2047521920,26563.84,21522.96,C449261773,31608.68,37407.94,1,0
113,PAYMENT,2394,C1284098442,22553.07,19944.63,C801412408,48547.15,50913.6,1,0
114,PAYMENT,1976.39,C1083194102,4835.37,3134.98,M1751836751,42374.09,44470.62,1,0
115,PAYMENT,2414.28,C114361503,3396.22,967.15,C1836982430,3224.25,5365.56,1,0
116,PAYMENT,7572.11,C642847803,40166.18,32122.93,C779986957,43449.1,50934.21,1,0
117,PAYMENT,4959.83,C1395071924,17698.98,12373.54,C79685693,17242.85,21875.23,1,0
118,PAYMENT,1428.43,C688425322,44428.28,43125.54,C31789747,41362.23,42915.28,1,0
119,PAYMENT,4847.81,C141110631,1142.2,-3418.4,C240650537,872.13,5890.74,1,0
120,PAYMENT,9354.75,C1544078442,17113.91,8040.46,M1291367132,30019.02,39519.6,1,0
121,PAYMENT,9049.82,C2018260103,20577.75,11886.22,C240650537,27691.7,36308.44,1,0
122,PAYMENT,1482.92,C140404585,46247.1,45228.98,C1688019098,496.12,1869.33,1,0
123,PAYMENT,4968.22,C556223230,1861.91,-3164.29,C2094777811,27421.84,32508.92,1,0
124,PAYMENT,5015.45,C1608633989,8379.58,3823.85,M1615617512,11781.71,16304.78,1,0
125,PAYMENT,7546.21,C307488715,30706.19,22686.71,C1789550256,256.33,7705.67,1,0
126,PAYMENT,5417.7,C795748540,18416.19,12758.5,M2081000371,27490.72,33206.43,1,0
