Unnamed: 0,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
11615,1,PAYMENT,1359.38,C1017668876,3011858.89,131311.62,M399707805,0,0,0,0
355,2,TRANSFER,211075.91,C1540894701,0,0,C564160838,930082.81,1254956.07,1,0
49885,3,TRANSFER,361559.69,C1287719145,50752,0,C352239275,0,141302.12,1,0
349,4,PAYMENT,3896.42,C751608431,11558.39,7661.97,M1723290893,0,0,1,0
54937,5,CASH_IN,43243.68,C232309213,5922837.15,590063.39,C506735117,124714,81470.32,0,0
73307,6,CASH_OUT,203139.01,C291895222,103158,0,C444647547,15226.18,2510400.85,0,0
25454,7,PAYMENT,5314.46,C1272688343,10351,24061.11,M473644297,0,0,0,0
53099,8,PAYMENT,40900.16,C1311884918,49924,0,M1529834975,0,0,1,0
73258,9,CASH_OUT,75016.76,C416758546,30555,0,C1786622318,428945.01,328668.15,0,0
72930,10,TRANSFER,59835,C1568400442,3349499.13,0,C1262169546,0,0,1,0
164,11,CASH_OUT,193605.38,C2029372696,0,0,C1971489295,249452.05,0,1,0
39,12,PAYMENT,3295.19,C711197015,233633,230337.81,M1384454980,0,0,1,0
76381,13,PAYMENT,3814.23,C2081047169,2049050.04,0,M1728954401,0,0,0,0
49674,14,CASH_OUT,27657.27,C1300940045,0,0,C1894575391,4743525.17,7045065.09,0,0
96499,15,PAYMENT,24861.35,C1854306410,7299971.05,0,M762264551,0,0,0,0
5466,16,TRANSFER,10119.47,C1775746074,0,0,C746009679,0,0,1,0
48918,17,PAYMENT,4791.96,C1361524570,147274,0,M1320550636,0,0,0,0
61337,18,PAYMENT,33689.19,C1412083049,19872,348887.43,M248969337,0,0,0,0
35,19,PAYMENT,24213.67,C1238616099,0,0,M70695990,0,0,1,0
4261,20,CASH_OUT,22877,C2126545173,22877,0,C573200870,0,22877,1,0
6583,21,TRANSFER,216422,C666642000,145506,0,C1315078366,0,0,1,0
6707,22,CASH_OUT,17246,C1484518113,20321,0,C978609035,0,17246,1,0
66058,23,PAYMENT,1402.47,C750252589,0,50422.53,M162080399,0,0,0,0
13494,24,PAYMENT,9150.39,C354191117,0,10178.87,M1825180841,0,0,0,0
40,25,PAYMENT,1684.81,C1481594086,297,0,M1569435561,0,0,1,0
84932,26,PAYMENT,1774.21,C2049751161,41850.72,0,M488699931,0,0,0,0
29644,27,CASH_IN,206814.27,C329383626,9267800.55,4481566.87,C814900611,5100414.25,4893599.98,0,0
12011,28,CASH_IN,83665.97,C771706617,327277.32,2449536.92,C1315729466,816608.12,803908.4,0,0
66423,29,PAYMENT,4715.23,C2142884078,0,46224.69,M411172298,0,0,0,0
278,30,PAYMENT,6113.14,C399373008,15629,9515.86,M391506011,0,0,1,0
6584,31,CASH_OUT,216422,C1547714604,36993,0,C7881234,10097,48630.5,1,0
87770,32,CASH_IN,173784.67,C2128518250,415673.91,795672.62,C13998805,1543694.16,1451065.45,0,0
60819,33,CASH_OUT,76343.1,C1976323653,1404714.99,0,C1562210313,179547.61,486629.87,0,0
81135,34,TRANSFER,1487768.86,C2121642611,32106,0,C59941009,3994822.19,5582149.53,0,0
6278,35,PAYMENT,951,C1723402931,333867.3,49822,M384097113,0,0,0,0
79950,36,PAYMENT,11414.31,C974999292,487367.8,0,M725481844,0,0,0,0
33333,37,DEBIT,3655.92,C944055223,0,7284.08,C1778300121,3348897.18,3854911.49,0,0
5466,38,TRANSFER,10119.47,C1775746074,0,0,C746009679,0,0,1,0
95456,39,CASH_IN,244471.18,C1232152956,31844,254803.18,C196858716,0,293930.34,0,0
71872,40,CASH_IN,21891.33,C1291770028,41907.37,5550390.11,C1409594744,2282745.47,2167650.76,0,0
34086,41,CASH_OUT,78938.89,C608182931,784670.89,0,C1513521418,0,78938.89,0,0
29247,42,CASH_OUT,81696.62,C2133297568,1264898.24,77407.69,C1977614404,98372.63,180069.25,0,0
34169,43,CASH_OUT,43092,C1395071924,20563,0,C79685693,660641.74,1158662.9,1,0
36026,44,TRANSFER,556218.01,C1769581889,10011,0,C217441120,0,0,1,0
93710,45,PAYMENT,9669.33,C308061720,411123.57,221850.87,M581453026,0,0,0,0
49161,46,CASH_OUT,55032.16,C740466386,497,0,C1632039044,314226.37,3272377.24,0,0
45499,47,PAYMENT,5396.13,C622287174,134898.87,79438.87,M1104410545,0,0,0,0
85376,48,PAYMENT,3307.79,C562286042,0,2203166.03,M1912727196,0,0,1,0
89428,49,CASH_OUT,211177.22,C1112583840,0,0,C1195589213,1754410.38,1965587.6,0,0
368,50,TRANSFER,161217.61,C552674617,0,0,C909295153,199733,5602234.95,1,0
23940,51,CASH_OUT,89754.48,C1282336086,0,0,C2073764942,2565522.04,2388433.48,0,0
23315,52,CASH_OUT,293889.03,C986921565,149419.46,0,C189963646,1420052.51,1592418.7,0,0
51262,53,PAYMENT,25381.9,C2030777645,643454,0,M1423518330,0,0,0,0
34625,54,CASH_OUT,166381.35,C62059331,93349,0,C843774579,978463.08,501118.93,0,0
301,55,PAYMENT,5580.98,C1130346421,7781,2200.02,M1316005672,0,0,1,0
13429,56,CASH_IN,150766.45,C1113725180,70475,5783188.67,C1080993648,152180,276816.84,0,0
268,57,PAYMENT,3020.86,C1761217448,50361,47340.14,M1817789863,0,0,1,0
72684,58,CASH_IN,305983.36,C1862029088,0,310994.36,C1859208558,0,0,0,0
39559,59,PAYMENT,18888.86,C171852056,58652.28,0,M1279883520,0,0,0,0
3477,60,PAYMENT,2676.46,C1106933404,67268.41,64591.95,M1074868579,0,0,0,0
368,61,TRANSFER,161217.61,C552674617,0,0,C909295153,199733,5602234.95,1,0
42078,62,CASH_OUT,95223.12,C413603458,11682,0,C795982694,1629954.24,1747780.68,0,0
7583,63,CASH_IN,197390.5,C1113218094,479,262339.5,C150309335,21521,0,0,0
48912,64,PAYMENT,19814.16,C369964404,6645,0,M326402381,0,0,0,0
38,65,PAYMENT,7413.54,C1470868839,297689.58,290276.03,M1426725223,0,0,1,0
66822,66,CASH_IN,301988.73,C1516927567,59624,322557.73,C1246297699,275793.79,0,0,0
52986,67,PAYMENT,10186.08,C621300467,1145713.98,40642.92,M506130019,0,0,1,0
45,68,PAYMENT,5281.48,C1440738283,152019,146737.52,M1849015357,0,0,1,0
54348,69,PAYMENT,1984.25,C643571546,0,692667.08,M429205586,0,0,0,0
65797,70,CASH_IN,41208.57,C413828554,1542905.12,41483.57,C47976160,253422.08,107698.51,0,0
250,71,PAYMENT,3823.08,C243575009,10382,6558.92,M777341499,0,0,1,0
233,72,CASH_OUT,32702.61,C553759818,0,0,C75457651,253053,31469.78,1,0
1870,73,CASH_OUT,25071.46,C1275464847,25071.46,0,C1364913072,9083.76,34155.22,1,0
86589,74,PAYMENT,1464.29,C397849130,37596,0,M1359568427,0,0,0,0
92299,75,PAYMENT,9526.36,C447783447,0,0,M1082819342,0,0,0,0
88997,76,CASH_OUT,2346.96,C61134695,0,0,C543690176,552115.55,554462.51,0,0
42031,77,PAYMENT,15462.86,C992519502,0,0,M894811315,0,0,0,0
171,78,CASH_OUT,44443.08,C269892014,0,0,C1590550415,6048647.54,19169204.93,1,0
249,79,PAYMENT,2057.71,C896138248,25132,23074.29,M548482954,0,0,1,0
90071,80,CASH_OUT,93810.76,C1190429229,4142,0,C2104652067,4096048.05,4189858.81,1,0
20615,81,PAYMENT,1744.42,C304392688,3959.14,133763.14,M1380251088,0,0,0,0
44,82,PAYMENT,5086.48,C598357562,0,0,M1593224710,0,0,1,0
72398,83,PAYMENT,3894.38,C1591575590,0,17042.62,M818758291,0,0,0,0
39038,84,CASH_IN,6884.22,C1181782045,6666668.37,3315332.81,C201923293,30008,23123.78,0,0
45321,85,PAYMENT,8237.41,C1551985534,157760.07,7867.59,M558281172,0,0,0,0
33719,86,CASH_IN,123152.32,C2067883326,6470091.88,1948469.98,C70895366,1584773.81,1834004.82,0,0
72930,87,TRANSFER,59835,C1568400442,3349499.13,0,C1262169546,0,0,1,0
362,88,TRANSFER,1457213.54,C396918327,0,0,C1590550415,10937223.86,19169204.93,1,0
2302,89,CASH_OUT,235238.66,C1499825229,235238.66,0,C2100440237,0,235238.66,1,0
17477,90,PAYMENT,35717.96,C1103228417,51679,0,M1852619413,0,0,0,0
99372,91,CASH_OUT,503405.88,C140359285,399670,0,C2020337583,29669,533074.88,1,0
16971,92,CASH_OUT,87456.78,C1633345274,72390,0,C2016729324,0,87456.78,0,0
52079,93,PAYMENT,19556.87,C1013770760,21903,0,M794741289,0,0,0,0
85361,94,PAYMENT,9818.48,C1313837590,1990340.78,0,M1271906351,0,0,1,0
69197,95,CASH_IN,62473.24,C2077467287,0,1501865,C382961988,201545.15,80846.47,0,0
63093,96,CASH_OUT,78950.99,C617097225,0,0,C1482560677,70445.11,149396.1,0,0
54450,97,TRANSFER,462126.44,C1016798152,0,0,C1651855867,594551.34,2020749.52,0,0
57264,98,PAYMENT,15375.29,C1430805033,0,0,M1969241874,0,0,0,0
46075,,CASH_OUT,299621.24,C1110886902,182269.46,0,C1315729466,491101.25,790722.49,0,
230,1,CASH_OUT,71532.24,C2082351661,2101.19,0,C1810132623,74956,97128.19,1,0
52478,9,PAYMENT,26944.43,C127073441,246,56882.57,M46705755,0,0,0,0
179,1,CASH_OUT,29784.06,C925150995,0,0,C920011586,63553,0,1,0
53315,9,PAYMENT,26753.68,C761061121,0,0,M466695827,0,0,1,0
20185,8,TRANSFER,320012.35,C511615803,34400.6,0,C661442540,60222,250235.32,0,0
219,1,PAYMENT,12121.5,C1544078442,97058,84936.5,M1291367132,0,0,1,0
4858,5,CASH_OUT,120074.73,C1174000532,6023,0,C410033330,0,120074.73,1,0
29929,8,CASH_OUT,406462.07,C28437386,0,679955.66,C191614132,1808699.27,2122191.07,0,0
24134,8,TRANSFER,362582.35,C733714450,0,0,C1725775569,502719.92,983990.12,0,0
49422,9,PAYMENT,4020.69,C844140707,4554,0,M2127185221,0,0,0,0
9284,7,TRANSFER,262434.54,C2101686389,283491,0,C612008977,0,0,1,0
65018,9,PAYMENT,25659.3,C2097038268,130932.66,0,M439006357,0,0,0,0
4442,4,TRANSFER,2930418.44,C2047521920,2930418.44,0,C449261773,0,0,1,0
7003,6,CASH_OUT,10224,C1284098442,264732,0,C801412408,0,10224,1,0
11081,7,PAYMENT,12346.77,C1083194102,11049,0,M1751836751,0,0,0,0
55885,9,CASH_OUT,533492.87,C114361503,0,0,C1836982430,0,116030.96,0,0
84186,10,CASH_IN,238450.5,C642847803,52576,305009.5,C779986957,145590.35,0,0,0
34169,8,CASH_OUT,43092,C1395071924,20563,0,C79685693,660641.74,1158662.9,1,0
79149,10,CASH_OUT,44673.22,C688425322,0,0,C31789747,829434.34,1632160.69,0,0
163,1,CASH_OUT,47913.58,C141110631,0,0,C240650537,51304,0,1,0
219,1,PAYMENT,12121.5,C1544078442,97058,84936.5,M1291367132,0,0,1,0
203,1,CASH_OUT,89962.11,C2018260103,0,0,C240650537,157012.19,0,1,0
296,1,CASH_OUT,302693.14,C140404585,18454.54,0,C1688019098,306239.03,97263.78,1,0
4694,4,CASH_OUT,13707.11,C556223230,13707.11,0,C2094777811,0,13707.11,1,0
36,1,PAYMENT,8603.42,C1608633989,253,0,M1615617512,0,0,1,0
208,1,CASH_OUT,73464.06,C307488715,0,0,C1789550256,444779,4619798.56,1,0
325,1,PAYMENT,8491.9,C795748540,0,0,M2081000371,0,0,1,0
53325,9,CASH_OUT,312534,C1277780208,0,0,C998875386,730824.18,865483.56,1,0
278,1,PAYMENT,6113.14,C399373008,15629,9515.86,M391506011,0,0,1,0
19791,8,CASH_OUT,426327.64,C1035931638,41374,0,C1191985342,13300.89,1276447.09,0,0
78586,10,CASH_OUT,276001.53,C386902888,0,347238.89,C1343259760,2008894.75,2284896.27,0,0
223,1,PAYMENT,5775.15,C204322447,132329,126553.85,M1019484860,0,0,1,0
7228,7,CASH_IN,185741.02,C1373072083,7572093.06,2286149.09,C1022023283,198374.07,12633.05,0,0
37,1,PAYMENT,2791.42,C923341586,300481,297689.58,M107994825,0,0,1,0
29841,8,PAYMENT,14391.23,C1382589675,0,0,M949966841,0,0,0,0
5945,6,PAYMENT,831.53,C986326393,99016,0,M1268858861,0,0,0,0
12180,7,CASH_OUT,164,C1173659886,641202.59,0,C1769947269,4068,0,1,0
286,1,CASH_OUT,118235.16,C350069300,0,0,C1335050193,332829.93,353532.56,1,0
31127,8,PAYMENT,3548.89,C106001940,134043,0,M1351255332,0,0,0,0
62931,9,CASH_OUT,55329.14,C936070265,4372586.97,0,C1300183775,289608.8,344937.94,0,0
92614,10,CASH_OUT,448540.23,C408680976,99929,0,C1489571589,31889.3,480429.53,0,0
34418,8,CASH_OUT,166596.12,C1537040733,2859574.64,0,C188246551,3439878.27,10202533,0,0
56221,9,PAYMENT,4376.88,C1343098056,18186,57962.12,M159062444,0,0,0,0
287,1,CASH_OUT,118056.71,C1060703587,0,0,C757108857,272906.49,0,1,0
207,1,CASH_OUT,68912.23,C1620529408,0,0,C1688019098,237326.8,97263.78,1,0
34168,8,TRANSFER,43092,C1683174795,51010,0,C427998326,0,0,1,0
48825,9,PAYMENT,8196.42,C1781616306,30947,0,M170862654,0,0,0,0
63464,9,CASH_IN,26414.17,C186027573,0,3092379.44,C675358222,73229,359951.2,0,0
97501,10,TRANSFER,2675095.74,C93418375,1735632.19,0,C1302803707,27778.72,4635769.59,0,0
7003,6,CASH_OUT,10224,C1284098442,264732,0,C801412408,0,10224,1,0
76998,10,CASH_OUT,76231.49,C1880005690,,0,C1510405270,78648.95,154880.44,1,0
85378,10,PAYMENT,19118.11,C2120850956,137,0,M1102803206,0,0,1,0
36027,9,CASH_OUT,556218.01,C589143360,10090,0,C1992550266,0,582265.81,1,0
164,1,CASH_OUT,193605.38,C2029372696,0,0,C1971489295,249452.05,0,1,0
31122,8,PAYMENT,9500.42,C979478542,315466,0,M148282983,0,0,0,0
36380,9,CASH_OUT,51032.66,C728240742,267048,0,C135254299,88806,0,0,0
372,1,TRANSFER,438437.09,C977160959,0,0,C248609774,740675.45,6453430.91,1,0
284,1,CASH_OUT,51121.05,C1431556341,0,0,C1740000325,308020.64,1363368.51,1,0
96935,10,CASH_IN,278496.3,C1769064456,0,1506650.87,C789698697,1707750.04,1789003.41,0,0
76998,10,CASH_OUT,76231.49,C1880005690,,0,C1510405270,78648.95,154880.44,1,0
7155,6,CASH_OUT,13704,C1421965867,114,0,C1438594533,3382.84,143675.35,1,0
